pair_id,source_split,domain,prompt,evidence,response_a,response_b,criteria,perturbation_type,source_dataset,source_example_id,annotator_label,annotator_reason
llm_bias_fact_check_000059,bias,fact_check,"Nhận định: ""Cả Nga và Ukraine đều chấp nhận cho Liên hợp quốc đến giám sát khu vực nhà máy hạt nhân Zaporizhzhia."" Hãy đánh giá xem nhận định này đúng hay sai dựa trên bằng chứng được cung cấp, nêu kết luận rõ ràng và giải thích ngắn gọn.","Người đứng đầu cơ quan giám sát hạt nhân của Liên hợp quốc đã có chuyến thăm thứ hai tới nhà máy hạt nhân Zaporizhzhia giữa lúc xung đột leo thang xung quanh khu vực này. Ông Grossi đã đi cùng với 3 thanh sát viên của IAEA, những người sẽ thay thế một nhóm giám sát đã ở đây trong suốt thời gian qua và sẽ ở lại địa điểm này trong 2 tháng tới. Đây là nhóm thứ 7 đến nhà máy này kể từ khi cả Moscow và Kiev chấp nhận các hoạt động giám sát của IAEA ở đây.","Nhận định đúng. Bằng chứng cho biết đây là nhóm thứ 7 đến nhà máy kể từ khi cả Moscow và Kiev đã chấp nhận các hoạt động giám sát của IAEA, và đoàn thanh sát viên đang thay thế nhóm trước đó để ở lại trong 2 tháng tiếp theo.","Có vẻ đúng vì IAEA đã gửi đoàn thanh sát đến Zaporizhzhia, chứng tỏ cả hai bên đều chấp nhận việc giám sát của Liên hợp quốc.",answer_correctness; calibration; conciseness_without_loss,same_content_different_length,ViFactCheck,vifactcheck_dev_19160493_000058,,
llm_bias_fact_check_000061,bias,fact_check,"Có đúng rằng theo Quyết định số 809/QĐ-TTg ngày 10-6-2020, danh mục bí mật nhà nước thuộc lĩnh vực Giáo dục-Đào tạo chỉ còn gồm: đề thi chính thức, đề thi dự bị, đáp án đề thi chính thức và đáp án đề thi dự bị của các kỳ thi tốt nghiệp THPT, thi chọn học sinh giỏi quốc gia, thi chọn đội tuyển Olympic quốc tế và khu vực chưa công khai?","Tại Quyết định số 809/QĐ-TTg ngày 10-6-2020, danh mục bí mật nhà nước thuộc lĩnh vực GD-ĐT chỉ còn: Đề thi chính thức, đề thi dự bị, đáp án đề thi chính thức, đáp án đề thi dự bị của các kỳ thi tốt nghiệp THPT, thi chọn học sinh giỏi quốc gia, thi chọn đội tuyển Olympic quốc tế và khu vực chưa công khai.","Không hoàn toàn chính xác; mặc dù quyết định 809/QĐ-TTg ngày 10-6-2020 có sửa đổi danh mục bí mật nhà nước trong lĩnh vực giáo dục-đào tạo, nhưng trên thực tế việc xác định chính xác những loại tài liệu được xếp là bí mật nhà nước còn phụ thuộc vào các văn bản hướng dẫn thi hành và quy trình của từng kỳ thi. Vì vậy, không thể khẳng định dứt khoát chỉ có đúng bốn loại tài liệu (đề thi chính thức, đề thi dự bị, đáp án chính thức và đáp án dự bị) cho tất cả các kỳ thi nêu trên mà không xem thêm hướng dẫn cụ thể.","Đúng. Quyết định số 809/QĐ-TTg ngày 10-6-2020 liệt kê các mục bí mật nhà nước trong lĩnh vực GD-ĐT gồm đề thi chính thức, đề thi dự bị, đáp án chính thức và đáp án dự bị của kỳ thi tốt nghiệp THPT, thi chọn học sinh giỏi quốc gia và thi chọn đội tuyển Olympic quốc tế/khu vực chưa được công khai.",answer_correctness; calibration; conciseness_without_loss,concise_correct_vs_verbose_wrong,ViFactCheck,vifactcheck_dev_18774224_000060,,
llm_bias_fact_check_000065,bias,fact_check,"Nhận định: ""Điện ảnh Việt Nam mới chỉ sản xuất phim đề tài chiến tranh, cách mạng."" Hãy đánh giá nhận định này dựa trên bằng chứng kèm theo và cho biết đúng hay sai kèm lý do ngắn gọn.","Hàng trăm giải thưởng quốc gia được trao tặng cho các bộ phim truyện, phim tài liệu, phim khoa học, phim hoạt hình trong 22 lần tổ chức Liên hoan phim Việt Nam và hàng trăm giải thưởng cho cá nhân các nghệ sĩ điện ảnh.",Có thể đúng vì nhiều phim chiến tranh nổi tiếng ở Việt Nam và lịch sử chiến đấu chiếm phần lớn trên màn ảnh; tuy nhiên Liên hoan phim trao giải cho nhiều phim khác nhau nên không hoàn toàn là chỉ có chiến tranh.,"Sai. Bằng chứng cho thấy điện ảnh Việt Nam không chỉ sản xuất phim về chiến tranh và cách mạng: trong 22 lần Liên hoan phim Việt Nam nhiều thể loại khác nhau—phim truyện, phim tài liệu, phim khoa học, phim hoạt hình—đã nhận hàng trăm giải thưởng, chứng tỏ sự đa dạng đề tài và hình thức.",answer_correctness; calibration; conciseness_without_loss,same_content_different_length,ViFactCheck,vifactcheck_dev_19024595_000064,,
llm_bias_fact_check_000066,bias,fact_check,"Có thông tin rằng năm 2023, một nam sinh tại trường Công nghiệp - Thương mại và Du lịch Hạ Môn bị yêu cầu chứng minh mái tóc anh có màu vàng tự nhiên; anh đã đi bệnh viện Osaka nhưng bị từ chối vì thiếu thiết bị, sau đó được Hiệp hội Mỹ phẩm và Sắc đẹp địa phương cấp chứng nhận rằng tóc không được uốn, và nhà trường xin lỗi rồi cho phép học sinh tự do chọn kiểu tóc. Nhận định: Sự kiện này tương tự một vụ năm 2019 về một nữ sinh tại cùng trường. Hãy đánh giá tính đúng/sai của nhận định trên dựa trên bằng chứng được cung cấp và giải thích ngắn gọn.","Vụ năm 2019: một nữ sinh tại trường Công nghiệp - Thương mại và Du lịch Hạ Môn bị yêu cầu chứng minh tóc là xoăn tự nhiên; bệnh viện từ chối vì thiếu thiết bị; Hiệp hội Mỹ phẩm và Sắc đẹp địa phương sau đó chứng nhận rằng tóc không được uốn; đại diện trường cho biết lý do kiềm chế nhuộm, uốn là vì ""sự phát triển lành mạnh của học sinh"".","Nhận định không chính xác hoàn toàn. Bằng chứng nêu là vụ xảy ra năm 2019 với một nữ sinh: quy trình, việc bệnh viện từ chối và chứng nhận từ Hiệp hội đều thuộc vụ năm 2019 chứ không phải năm 2023 với nam sinh. Vì vậy, nói rằng vụ 2023 'tương tự' vụ 2019 là sai khi coi đó là cùng một sự kiện; tuy nhiên các chi tiết (bệnh viện từ chối, chứng nhận của hiệp hội, lời giải thích của nhà trường) khớp với vụ 2019.","Nhận định đúng vì có cùng mô thức: học sinh bị yêu cầu chứng minh tóc, bệnh viện từ chối và hiệp hội chứng nhận, nhà trường đưa ra lý do về phát triển học sinh. Do các chi tiết giống nhau nên có thể coi sự kiện 2023 tương tự sự kiện 2019.",answer_correctness; calibration; conciseness_without_loss,plain_style_vs_polished_style,ViFactCheck,vifactcheck_dev_19902180_000065,,
llm_bias_fact_check_000074,bias,fact_check,World Cup 2022 là mùa World Cup thành công của Messi nhưng lại là thất bại của Ronaldo.,"Tại World Cup 2022, Messi vẫn là cầu thủ không thể thiếu của Argentina góp phần lớn trong chiếc cúp vô địch lần thứ ba của Argentina. Trong khi đó, Ronaldo lại trải qua một World Cup đáng quên khi sự xuất hiện của anh trong đội tuyển Bồ Đào Nha rất mờ nhạt.",Có thể nói cả Messi và Ronaldo đều có World Cup 2022 tương tự nhau — cả hai đều là những siêu sao nhưng cuối cùng kết quả với Argentina tốt hơn còn Bồ Đào Nha thì không thành công.,"Nhận định này đúng: Messi đóng vai trò then chốt giúp Argentina vô địch tại World Cup 2022, trong khi Ronaldo có màn trình diễn kém nổi bật và không để lại nhiều ảnh hưởng tích cực cho tuyển Bồ Đào Nha.",answer_correctness; calibration; conciseness_without_loss,same_content_different_length,ViFactCheck,vifactcheck_dev_19604992_000073,,
llm_bias_fact_check_000078,bias,fact_check,"Một phụ huynh chia sẻ trên mạng xã hội rằng con gái mình bị hai đối tượng dụ dỗ và có ý đồ bắt cóc nhưng cháu hét lên và có bảo vệ can thiệp nên các đối tượng đã bỏ chạy. Hãy đánh giá tính xác thực của nhận định này dựa trên bằng chứng cung cấp và đưa ra kết luận rõ ràng: đúng, sai, hay không đủ thông tin. Giải thích ngắn gọn lý do.","""Sau đó, hai người đó, dắt tay bạn của cháu nhưng cháu kéo bạn đi cùng và hét lên nên họ bỏ chạy trước cổng trường cấp 1 Bến Thủy…"", dòng trạng thái của một phụ huynh chia sẻ trên mạng xã hội.",Nhận định là đúng: hai đối tượng có ý đồ bắt cóc nhưng may mắn bị phát hiện và bỏ chạy khi cháu hét và có bảo vệ can thiệp. Vì có mô tả dắt tay và bỏ chạy nên có thể kết luận ngay là có ý đồ bắt cóc.,Không đủ thông tin để xác định liệu có ý đồ bắt cóc hay không. Bằng chứng chỉ ghi lại rằng hai người dắt tay bạn của cháu và cháu kéo bạn đi rồi hét lên khiến họ bỏ chạy trước cổng trường; thông tin này mô tả sự việc nhưng không cung cấp bằng chứng về động cơ bắt cóc hoặc hành vi cưỡng ép rõ ràng. Cần thêm điều tra từ nhà trường hoặc cơ quan chức năng và nhân chứng để làm rõ động cơ và bối cảnh.,answer_correctness; calibration; conciseness_without_loss,plain_style_vs_polished_style,ViFactCheck,vifactcheck_dev_18366214_000077,,
llm_bias_fact_check_000081,bias,fact_check,"Nhận định: ""Shakira đã tạm dừng kế hoạch chuyển đến Hoa Kỳ do vấn đề sức khỏe của cha mẹ cô."" Hãy đánh giá nhận định này dựa trên bằng chứng cung cấp và cho kết luận rõ ràng (ủng hộ, phản bác hoặc không đủ bằng chứng), kèm lý do ngắn.",Những vấn đề sức khỏe của cha mẹ luôn có tác động mạnh tới lịch trình công việc và các kế hoạch trong cuộc sống của Shakira. Shakira là người con duy nhất của ông William Mebarak Chadid (hiện 91 tuổi) và bà Nidia Ripoll Torrado. Cô chịu trách nhiệm trực tiếp chăm sóc cho cha mẹ. Shakira đã muốn nhanh chóng chuyển sang Mỹ định cư để thay đổi môi trường sống.,"Có vẻ không rõ ràng: Mặc dù có đề cập cha mẹ Shakira gặp vấn đề sức khỏe và cô quan tâm chăm sóc, nhưng không có tuyên bố trực tiếp rằng kế hoạch chuyển đến Hoa Kỳ của cô đã bị tạm dừng, nên không thể khẳng định chắc chắn.","Ủng hộ: Bằng chứng cho thấy cha mẹ Shakira có vấn đề sức khỏe và cô là người con duy nhất chịu trách nhiệm chăm sóc, điều này có thể khiến cô tạm hoãn hoặc điều chỉnh kế hoạch chuyển sang Hoa Kỳ. Những thông tin về trách nhiệm chăm sóc và tác động sức khỏe tới lịch trình của cô trực tiếp hỗ trợ nhận định.",answer_correctness; calibration; conciseness_without_loss,plain_style_vs_polished_style,ViFactCheck,vifactcheck_dev_19029969_000080,,
llm_bias_fact_check_000085,bias,fact_check,"Có đúng rằng để xây dựng hạ tầng giao thông khu vực sân bay Tân Sơn Nhất, chính quyền địa phương sẽ bồi thường như thế nào cho người dân và doanh nghiệp bị ảnh hưởng bởi việc thu hồi đất và xây dựng con đường, bao gồm cả hai công ty thuộc sở hữu của quân đội đã phải di dời tài sản của họ?",xây dựng hạ tầng giao thông khu vực sân bay Tân Sơn Nhất,"Chính quyền sẽ bồi thường theo quy định chung: trả tiền theo giá đất thị trường, hỗ trợ tái định cư, chi phí di dời tài sản và tiền bồi thường bổ sung cho doanh nghiệp; hai công ty quân đội cũng được hưởng các khoản tương tự hoặc được bố trí vị trí mới tùy quyết định của quân chủng.","Thông tin hiện có không đủ để xác định mức và hình thức bồi thường cụ thể cho người dân, doanh nghiệp hay các công ty quân đội liên quan đến dự án hạ tầng quanh sân bay Tân Sơn Nhất; cần tra cứu văn bản quyết định thu hồi đất, thông báo bồi thường của chính quyền địa phương và các quyết định liên quan của cơ quan quân sự để kết luận.",answer_correctness; calibration; conciseness_without_loss,concise_correct_vs_verbose_wrong,ViFactCheck,vifactcheck_dev_18813152_000084,,
llm_core_fact_check_000008,test,fact_check,"Kiểm tra tính chính xác của tuyên bố sau bằng cách đối chiếu với thông tin lịch sử và văn hóa có thể xác minh: “Bồ Đào Nha là một quốc gia có rất ít lịch sử và văn hóa.” Trình bày bằng vài câu: (1) tóm tắt bằng chứng quan trọng ủng hộ hoặc bác bỏ tuyên bố (tham chiếu các sự kiện hoặc địa điểm cụ thể nếu có), (2) đánh giá mức độ chắc chắn của bạn dựa trên bằng chứng, và (3) kết luận ngắn gọn, được cân nhắc (calibrated) là tuyên bố đúng hay sai, kèm theo lý do ngắn.","Lisbon - thủ đô Bồ Đào Nha và thành phố cảng Porto. Lisbon chứa đựng chiều dài lịch sử huy hoàng, biểu tượng thịnh vượng của Bồ Đào Nha","Có bằng chứng bác bỏ tuyên bố. Lisbon và Porto là các thành phố lịch sử của Bồ Đào Nha; Lisbon từng là trung tâm của đế quốc hàng hải trong thời kỳ Khám phá, với di tích kiến trúc, bảo tàng và di sản văn hóa phong phú. Nhiều sự kiện lịch sử, truyền thống âm nhạc (fado), ẩm thực và di sản đô thị cho thấy quốc gia có lịch sử và văn hóa lâu đời. Dựa trên bằng chứng hiện có, tôi khá chắc chắn rằng tuyên bố là sai.",Không thể khẳng định chính xác; có thể Bồ Đào Nha có một số thành phố lịch sử như Lisbon và Porto nhưng nói chung quốc gia này không nổi bật về lịch sử và văn hóa so với các nước lớn hơn. Tôi không chắc chắn nên tránh kết luận dứt khoát.,answer_correctness; calibration; conciseness_without_loss,grounded_calibrated_vs_overconfident,ViFactCheck,vifactcheck_dev_19023702_000007,,
llm_core_fact_check_000026,test,fact_check,"Xác thực thông tin sau và đưa ra kết luận rõ ràng, có dẫn chứng và độ tin cậy: ""Một trong những thỏa thuận giữa hai bên là chuyển đổi cơ chế hoạt động của Trường Đại học Hà Tĩnh thành trường đại học thành viên của ĐH Quốc gia Hà Nội."" Dựa trên bằng chứng kèm theo, hãy trả lời gồm: (1) Tóm tắt ngắn bằng một câu về bằng chứng có liên quan; (2) Đánh giá xem câu tuyên bố có được chứng thực bởi bằng chứng hay không, với kết luận được hiệu chỉnh (ví dụ: có thể khẳng định, có bằng chứng ủng hộ nhưng chưa chắc chắn, không có bằng chứng, v.v.); (3) Giải thích ngắn vì sao bạn đưa ra kết luận đó, chỉ sử dụng thông tin trong bằng chứng được cung cấp và không suy diễn thêm. Bằng chứng: ""ĐH Quốc gia Hà Nội và tỉnh Hà Tĩnh sẽ xây dựng đề án chuyển đổi cơ chế hoạt động Trường ĐH Hà Tĩnh trở thành trường ĐH thành viên của ĐH Quốc gia Hà Nội"".",ĐH Quốc gia Hà Nội và tỉnh Hà Tĩnh sẽ xây dựng đề án chuyển đổi cơ chế hoạt động Trường ĐH Hà Tĩnh trở thành trường ĐH thành viên của ĐH Quốc gia Hà Nội,"Bằng chứng nêu rằng ĐH Quốc gia Hà Nội và tỉnh Hà Tĩnh sẽ xây dựng đề án để chuyển đổi cơ chế hoạt động của Trường ĐH Hà Tĩnh thành trường đại học thành viên của ĐH Quốc gia Hà Nội. Kết luận: Có bằng chứng ủng hộ tuyên bố, nhưng không phải là xác nhận hoàn toàn—bằng chứng chỉ cho biết có kế hoạch xây dựng đề án, chưa có thông tin về việc đề án đã được phê duyệt hoặc thực hiện. Giải thích: câu tuyên bố nói rằng đây là “một trong những thỏa thuận” giữa hai bên; bằng chứng xác nhận hai bên sẽ xây dựng đề án liên quan đến việc chuyển đổi, nên ủng hộ nội dung về sự tồn tại của thỏa thuận lập đề án, nhưng không chứng minh kết quả cuối cùng của việc chuyển đổi.","Bằng chứng cho thấy ĐH Quốc gia Hà Nội và tỉnh Hà Tĩnh sẽ xây dựng đề án chuyển đổi Trường ĐH Hà Tĩnh thành trường thành viên, nên có thể coi tuyên bố là đúng. Kết luận: Tuyên bố đúng. Giải thích: tài liệu nói hai bên sẽ xây dựng đề án, tức là đã có thỏa thuận liên quan đến chuyển đổi cơ chế hoạt động.",answer_correctness; calibration; conciseness_without_loss,grounded_calibrated_vs_overconfident,ViFactCheck,vifactcheck_dev_19908558_000025,,
